date	canada	usa	o_america	brunei	indonesia	malaysia	myanmar	philippines	thailand	vietnam	o_se_asia	hk	japan	china	skorea	taiwan	o_nasia	bangladesh	india	nepal	pakistan	sri lanka	o_sasia	iran	israel	kuwait	sarabia	uae	o_wasia	austria	belgium&lux	denmark	finland	france	germany	greece	italy	netherlands	norway	poland	ireland	russia	spain	sweden	switzerland	turkey	uk	o_eeurope	o_weurope	oceania	australia	nz	o_oceania	egypt	mauritius	sa	o_africa
2008-06-30	5078	35304	2197	5959	154546	53217	6292	33708	26211	27272	2359	23055	40879	70565	35998	13146	1520	8853	84143	1727	2551	5799	1138	1021	905	404	885	4625	1621	893	1409	2003	806	7147	10893	494	2450	4945	2680	620	2316	3626	1672	1944	3830	882	27578	2666	678	85419	73802	10554	1063	371	846	2835	2385
2008-07-31	6838	39087	2666	4505	168492	46968	7068	34135	28884	29462	2856	28218	47659	105528	39614	19398	1633	9581	63373	1631	3749	6286	851	844	863	1022	1592	8182	2658	1550	2243	3121	784	11267	13500	763	3971	7759	3126	1049	2443	3922	3364	2114	5896	1108	33476	3625	1082	93866	79776	13056	1034	565	1062	3415	3264
2008-08-31	6026	32440	1987	4627	134811	44118	6680	34984	25901	24828	3140	26847	53699	91325	42338	16923	1702	8481	58626	1934	2492	8029	826	1714	892	1094	1911	7253	2399	1495	2108	2056	648	13597	14690	1077	6556	7241	1943	1010	2064	4385	4595	1598	5361	1172	39090	3455	1498	77039	65465	10578	996	521	1010	2753	4455
2008-09-30	4273	25160	2390	3569	144158	44892	5815	34314	24530	16065	2851	20765	48771	66582	25914	12303	983	7914	53488	1516	1115	4969	506	1336	912	137	474	3266	797	1359	1440	1966	1181	7682	14033	798	3397	5476	2060	1065	2070	3815	2550	1848	4873	972	34246	2998	991	84600	72816	10776	1008	241	510	2781	2487
2008-10-31	6708	31842	3090	3340	158276	54973	6581	38577	34193	18719	2726	20016	47736	76836	30930	13503	989	8167	67510	1466	1335	6018	732	1243	1075	265	750	3898	1297	1476	1563	2775	946	8200	16762	824	3077	6525	2487	785	2439	4748	2333	2684	6014	1449	39720	4011	1241	88100	75866	11008	1226	337	769	3859	2917
2008-11-30	7040	30713	2379	3989	119530	60463	5738	34208	21914	17701	3000	19197	48225	79096	24445	12535	998	7379	56927	1419	1739	5631	788	1063	1002	221	607	3082	1137	1811	2033	2507	1169	8782	16946	785	3367	6121	2615	1262	2642	5198	2623	2951	6570	1071	43739	4207	1104	68586	60257	7239	1090	277	1177	2765	2275
2008-12-31	7664	31577	2106	8090	180678	84324	6928	37367	24747	19903	2615	22238	47602	66689	22308	11947	1177	7292	62641	1731	1844	9304	1211	1392	789	450	855	5317	1739	1589	1859	2459	1512	8604	14272	897	3658	5773	2559	1196	2653	5138	2498	4322	5853	2108	43606	4585	1171	88456	79278	8098	1080	382	1682	5244	3326
2009-01-31	7121	28845	2078	4080	118342	44243	5521	26249	22661	19870	2618	23399	38382	105144	25516	15986	1488	6209	46752	1808	1257	4322	680	1034	847	201	446	3598	983	1583	1472	3373	1549	8168	14551	681	3564	5696	2734	950	2255	8075	1957	4682	5378	1334	41540	6051	1065	88918	80008	7812	1098	300	894	3416	2269
2009-02-28	6443	26724	1847	3421	103501	45726	4909	28911	23335	19292	2079	19720	42807	80037	27387	12744	874	6299	42275	1067	1314	4598	577	1525	994	228	819	2678	932	1559	1447	3415	1827	9002	14985	652	3154	5701	2781	921	1967	3828	1838	3343	5456	1424	47245	4474	1054	56345	51144	4327	874	362	553	2016	1523
2009-03-31	7104	32022	2295	5390	128446	59660	5916	35718	28055	18307	2404	21290	46797	91275	20759	12542	902	6699	46779	1137	1503	4340	870	8136	1025	188	781	3631	969	1575	1868	2949	1801	10418	19351	666	3979	5917	3186	899	2211	3939	2259	3114	5605	1175	52832	5090	1188	60594	54821	4819	954	334	777	2340	2126
2009-04-30	5866	28287	2194	3759	126815	51299	8226	44622	32151	21663	4023	28587	31633	86525	21323	11970	1020	6521	55994	1201	1442	7845	706	911	606	197	719	4177	1207	1320	1946	2511	1361	9831	15931	603	2861	5109	3076	801	1878	3436	1965	2597	6162	847	41612	3764	1098	72719	65046	6620	1053	297	945	2723	2091
2009-05-31	4956	26832	2194	3935	129444	54995	5512	42460	27066	20397	2941	21529	29800	52058	21854	11602	1032	6427	90395	1104	1460	4544	594	790	745	276	671	3557	1212	897	1316	1682	1202	8642	11002	519	3069	4889	1741	738	1423	3563	1898	1621	4392	725	29410	3333	917	68000	59136	7963	901	220	605	2218	1977
2009-06-30	4495	32615	2030	5618	159603	61465	5150	33487	24479	28171	2184	21703	28060	41650	20991	11486	1491	7387	78538	1174	3014	4992	841	1362	846	572	849	4115	1750	842	1447	1803	1332	7685	10373	747	3038	4654	2096	745	1910	2892	2152	1816	3709	878	26538	3025	780	76157	65796	9342	1019	383	920	2435	1895
2009-07-31	5732	37270	2313	3598	169634	54087	6147	32072	26643	32814	2837	33382	46633	72326	30389	17351	1346	9521	65978	1234	3756	5820	694	1249	856	1843	1807	6655	2244	1554	2387	3007	969	11867	13356	1021	3623	9498	2662	925	2085	3131	2842	1829	6023	1189	34303	3703	1162	91338	79439	10879	1020	397	967	3301	2707
2009-08-31	5623	32539	1903	3520	131985	61893	4850	35930	23533	24506	2937	36218	50698	86530	32332	17490	1484	7442	54631	1229	2358	7523	695	1864	1088	821	1503	5466	1647	1661	2254	1885	704	16005	15563	1517	8871	8954	1728	937	1835	3643	4449	1494	4832	1160	37578	3921	1523	77091	67152	8957	982	301	1058	2532	2915
2009-09-30	3761	25190	2007	4257	182901	68008	5042	35289	23587	17520	2689	21509	52561	59588	15714	10443	876	7105	57110	1362	1055	5616	593	1934	857	345	771	3644	1192	1592	1707	1940	997	8383	14742	747	3727	6076	2159	1009	1685	3644	3032	1957	4533	1013	34738	3403	1065	83704	73407	9259	1038	200	612	2504	1800
2009-10-31	5752	32734	2942	3988	137011	69426	6249	38367	35977	20939	2824	25512	43247	83273	16069	13208	1141	8291	67239	1146	1461	6242	756	1336	1083	254	666	3078	948	1697	1806	2795	1137	10012	17384	718	3695	7021	2566	830	1855	4691	3155	2597	6314	1056	40654	3820	1174	92106	81622	9431	1053	390	997	3061	2260
2009-11-30	6391	34402	3046	5260	143014	82747	5694	37810	23588	19905	2991	20525	38949	90358	19620	11900	984	6735	49836	1184	1495	6078	900	1722	1051	413	1069	4631	1478	1970	1967	2811	1395	10339	20619	612	3436	6431	2834	1385	1830	4900	3008	2959	6119	1176	43724	4019	1276	77327	68570	7570	1187	365	1284	2656	1953
2009-12-31	6790	33244	2136	9705	214634	110760	7056	41157	26830	22030	2488	21046	40420	87983	20033	10039	1161	8001	70097	1537	2165	8090	1263	2054	886	412	714	4299	1552	1255	1748	2400	1761	9376	15824	767	3753	6413	2791	1060	1786	4606	2316	3915	5306	823	39582	4278	1127	92248	84158	6855	1235	312	1806	5249	3147
2010-01-31	6860	35514	2526	5245	173639	67941	5512	32703	24635	19109	3130	19415	37747	98918	39437	15510	1245	7762	57404	1619	1585	4770	881	1779	1277	443	512	3686	1098	1709	1954	3453	1972	10010	18091	755	4619	6597	2974	1145	1928	8063	2174	4708	6078	1599	44522	6395	1246	99207	89584	8392	1231	306	1174	3466	2427
2010-02-28	6424	31166	2078	4139	143917	68663	4492	32510	23153	20477	2786	24904	40666	143050	29589	17737	1554	5726	46061	1011	1292	4734	750	4042	997	587	714	3036	994	1573	1882	3785	1539	10684	17336	684	3821	6328	3263	1023	1555	4465	2275	3956	6100	1372	47559	4453	1239	60674	55364	4481	829	315	944	1720	1463
2010-03-31	7048	37102	2485	5692	165942	81745	7000	43955	31813	21336	2599	26245	51834	88031	30113	15219	1360	7747	53965	1286	1662	5373	766	10024	1175	468	689	3841	1160	2081	2249	3584	1775	11338	24040	810	4014	6764	3804	1130	2062	5037	2940	4165	6485	1492	54444	5186	1436	70289	63656	5602	1031	379	938	2654	1945
2010-04-30	6733	33454	2819	3943	162800	77441	9591	54448	50655	26680	4705	35560	35160	91701	24781	14508	1889	7528	73214	1222	1707	9960	779	1184	956	305	1038	4301	1385	1401	2088	2344	1063	11257	17906	630	3527	5570	2559	744	1578	3874	2222	2838	6926	1245	41335	3643	1106	77741	70076	6639	1026	363	977	2722	2396
2010-05-31	5456	32108	2550	4796	185757	81867	6555	55307	38921	26152	3723	32045	36819	71628	32159	17111	1595	7703	115955	1188	1565	6043	813	1448	1029	451	771	3764	1228	1314	1542	1666	878	10323	14056	577	3406	5879	1805	685	1408	4067	1918	1822	6413	1035	29283	3264	970	72641	63512	8107	1022	307	640	2169	1898
2010-06-30	4969	39016	2325	5953	214392	93070	6232	44484	30710	35586	3364	32190	36447	69080	30032	13542	2649	8524	83467	1004	2926	5750	892	2118	1174	806	941	4620	1969	1140	1534	1820	991	8359	11837	565	3201	4907	2412	800	1903	3096	2352	2117	4337	827	25731	3017	1049	85522	74593	9653	1276	348	654	2155	1946
2010-07-31	6645	41162	2648	5578	232528	82592	6877	43440	37256	43859	3755	46726	44646	117775	32668	23933	3005	9373	64905	1242	3907	6206	895	2032	918	2548	2400	8870	3388	1916	2625	2933	968	11902	14643	611	4084	8445	2819	908	1725	3325	3267	2057	6888	1214	31804	4269	1084	99197	87279	10846	1072	607	1163	1869	2748
2010-08-31	6397	34194	3524	4244	165483	75867	5838	39244	34790	32843	3528	46695	56644	130566	34169	20959	3984	7144	57107	1196	1510	7816	564	2727	1198	719	972	6132	1908	2012	2541	1831	754	15793	17266	905	8775	7883	1937	991	1776	4255	5274	1748	6148	1306	34984	5406	1773	78281	68209	9122	950	524	932	2107	3439
2010-09-30	4336	27932	2481	4628	243763	95455	5376	40662	30709	24331	2719	28467	44999	74434	25653	13486	1506	7942	54825	912	1125	5759	617	4180	785	535	1345	4299	1606	1486	1876	1590	986	8362	15985	501	3734	5738	1912	914	1559	3548	3066	1772	4978	1006	31688	3816	1313	90833	80282	9479	1072	298	651	2995	1805
2010-10-31	6161	36697	3103	3750	178903	82745	6482	52007	57950	24691	3771	32833	43493	92600	29008	13851	1657	7543	75567	1372	1469	6295	734	2215	1109	380	902	3683	1357	1823	1975	2450	1359	10062	18241	687	3328	6349	2903	987	1733	4519	2959	2609	7045	1047	37573	4372	1290	87068	77092	8795	1181	444	682	2663	2235
2010-11-30	6485	34311	3169	4673	175969	99933	5953	50092	30192	21246	3324	29847	51527	93998	27814	13131	1493	7438	72918	1005	1401	5785	932	2512	1310	723	1554	5729	1679	2162	2168	2265	1535	11750	22281	562	4394	6077	2914	1406	1574	5090	2749	3276	7084	3157	43240	4291	1430	72460	64145	7244	1071	424	1236	2187	2000
2010-12-31	7623	34334	2796	9513	262056	129599	8276	55492	39238	26543	2723	32625	48835	99556	25250	12186	2151	7879	73515	1246	1776	10476	1170	2669	903	403	793	4513	1538	1474	1958	1908	1790	10578	17549	717	4177	5969	2453	860	1632	5649	2568	4014	5890	1100	39551	5005	1170	95114	86694	7417	1003	431	1626	5721	2439
2011-01-31	7897	38267	3144	4547	208232	78342	6457	43339	33230	19704	3104	29322	48799	132040	41070	18218	1861	8228	63078	1183	1572	5721	744	2279	1120	455	849	3992	1402	1878	2059	2868	2217	10957	19862	749	5048	6722	3050	1050	1695	9732	2200	4840	6859	1615	41408	6585	1200	107333	98023	8102	1208	397	1017	3908	2543
2011-02-28	6898	33944	2792	3890	177003	81747	5897	48107	31019	26850	3082	38190	58190	149941	36810	19139	2479	6368	50696	959	1161	5908	710	3038	1040	631	1208	3429	1306	1882	1755	3188	1757	10755	19290	524	3518	6229	2955	1153	1311	4349	1973	3824	6551	1864	41665	4704	1182	63345	58135	4287	923	233	571	1565	1542
2011-03-31	9415	43236	3803	5795	191842	96418	8466	59922	45728	23756	2940	32721	59999	129749	29619	15222	1699	8133	57601	936	1361	5635	723	8787	1084	392	792	4654	1448	1839	2452	2723	1649	12342	23715	735	5155	7100	2895	1189	1531	5736	2811	3720	7002	1317	49753	5341	1728	73806	65885	6939	982	292	669	2634	1949
2011-04-30	7163	34124	4163	3747	194335	87230	11168	76197	55662	24152	4463	52413	38311	131797	28004	18828	2040	7707	74097	944	1490	9706	667	1064	931	342	1231	4447	1325	1555	2198	2307	1138	11852	18274	532	3583	5949	3353	731	1569	4157	2744	2856	7598	948	44966	3524	1507	97697	85297	11322	1078	266	993	3518	1756
2011-05-31	6116	34105	2946	4007	199881	90528	7893	72488	44274	24500	3548	37886	41594	110920	33736	18758	1877	7830	114316	929	1653	5744	745	1678	984	378	936	4179	1357	1205	1623	1467	1056	10086	12628	511	3499	5445	1724	774	1302	3163	1963	1926	5333	884	28282	3397	1134	86375	72365	12893	1117	278	604	2028	1629
